,Name,Model Number,SKU,Category,Number of Reviews,Rating,Price
130,GE - 17.5 Cu. Ft. Top-Freezer Refrigerator - Stainless Steel,GTS18HYNRFS,6494730,refrigerator,32,4.6,"2,999.99"
131,Samsung - BESPOKE 29 cu. ft 4-Door French Door Smart Refrigerator with Beverage Center - Morning Blue Glass,RF29BB86004MAA,6493525,refrigerator,1294,4.7,"2,099.99"
132,Samsung - 26 cu. ft. French Door Counter Depth Smart Refrigerator with Four Types of Ice - Stainless Steel,RF27CG5400SR/AA,6546223,refrigerator,130,4.3,"2,599.99"
133,Frigidaire - 18.3 Cu. Ft. Top-Freezer Refrigerator - White,FFTR1835VW,6369428,refrigerator,192,4.3,629.99
134,Café - 28.7 Cu. Ft. 4 Door French Door Refrigerator with Dual Dispense Autofill Pitcher - Stainless Steel,CGE29DP2TS1,6546682,refrigerator,88,4.5,"1,399.99"
135,Frigidaire - Gallery 22.6 Cu. Ft. Counter-Depth French Door Refrigerator - Stainless Steel,GRFC2353AF,6485388,refrigerator,66,4.3,699.99
136,LG - Standard-Depth MAX 30.7 Cu. Ft. French Door Smart Refrigerator with InstaView - Stainless Steel,LF31S6360S,6573588,refrigerator,22,4.7,"2,199.99"
137,Samsung - 30 cu. ft. 3-Door French Door Smart Refrigerator with Family Hub - Stainless Steel,RF32CG5900SR/AA,6546222,refrigerator,148,4.7,"2,429.99"
138,Samsung - 23 cu. ft. Side-by-Side Counter Depth Smart Refrigerator with All-Around Cooling - Stainless Steel,RS23A500ASR/AA,6447148,refrigerator,242,4.6,649.99
139,Samsung - Bespoke 29 Cu. Ft. 4-Door Flex French Door Smart Refrigerator with AI Family Hub+ and AI Vision Inside - White Glass,RF29DB990012AA,6571684,refrigerator,78,4.5,"4,399.99"
140,Frigidaire - 18.3 Cu. Ft. Top Freezer Refrigerator - Black,FFTR1814WB,6486379,refrigerator,71,4.4,"2,049.99"
141,Samsung - BESPOKE 29 cu. ft. 4-Door French Door Smart Refrigerator with AutoFill Water Pitcher - Stainless Steel,RF29BB8200QLAA,6493505,refrigerator,232,4.6,"2,499.99"
142,Frigidaire - Gallery 21.3 Cu. Ft. Counter-Depth 4-Door Refrigerator - Stainless Steel,GRQC2255BF,6517594,refrigerator,30,4.3,"2,499.99"
143,Thermador - Professional 20.8 Cu. Ft. French Door Counter-Depth Smart Refrigerator - Silver,T36FT820NS,6455518,refrigerator,70,4.3,"1,249.99"
144,"Café - 22.3 Cu. Ft. 4-Door French Door Counter-Depth Smart Refrigerator, Customizable - Stainless Steel",CXE22DP2PS1,6470493,refrigerator,78,4.4,"4,199.99"
145,Frigidaire - 22.3 Cu. Ft. Side-by-Side Refrigerator - Stainless Steel,FRSS2323AS,6506202,refrigerator,179,4.1,749.99
146,LG - Standard-Depth MAX 30.7 Cu. Ft. French Door Smart Refrigerator with Dual Ice Maker - Stainless Steel,LRFXS3106S,6553176,refrigerator,54,4.6,"1,999.99"
147,LG - Counter-Depth MAX 24.5 Cu. Ft. 4-Door French Door Smart Refrigerator with Full-Convert Drawer - Stainless Steel,LF25G8330S,6573590,refrigerator,18,4.2,"2,049.99"
148,GE - 23.7 Cu. Ft. French Door Refrigerator - Stainless Steel,GFE24JYKFS,6475411,refrigerator,29,4,"4,999.00"
149,Samsung - OBX 27.4 Cu. Ft. Side-by-Side Refrigerator - Stainless Steel,OBX RS27T5200SR,6511887,refrigerator,1,5,"4,139.99"
150,GE Profile - 29 Cu. Ft. Bottom-Freezer Smart Refrigerator with Adjustable Temperature Drawer - Stainless Steel,PGD29BYTFS,6572175,refrigerator,2,5,"1,199.99"
151,LG - Standard-Depth MAX 28.6 Cu. Ft. 4-Door French Door-in-Door Smart Refrigerator with InstaView MyColor - Stainless Steel,LF29S8365S,6573589,refrigerator,7,4.1,"2,099.99"
152,JennAir - RISE 23.8 Cu. Ft. French Door Counter-Depth Refrigerator - Stainless Steel,JFFCC72EHL,6342120,refrigerator,19,4.1,"2,499.99"
153,KitchenAid - 22.6 Cu. Ft. Side-by-Side Counter-Depth Refrigerator - Stainless Steel,KRSC703HPS,6366742,refrigerator,653,4,"2,519.99"
154,LG - Standard-Depth MAX 29.6 Cu. Ft. 4-Door French Door Smart Refrigerator with Full-Convert Drawer - Stainless Steel,LF30H8210S,6553167,refrigerator,8,5,"1,499.99"
155,Samsung - BESPOKE 23 cu. ft. 4-Door Flex French Door Smart Refrigerator with Customizable Panels (panels sold separately) - Custom Panel Ready,RF23A9675AP/AA,6451229,refrigerator,232,4.8,"2,799.99"
